Time,Voltage Magnitude,Voltage Angle,Current Magnitude,Current Angle,Frequency,ROCOF
0,8.0044,-11.524,0.7061,-79.607,60.006,0.0093
0.033,8.0045,-11.524,0.7061,-79.607,60.007,0.0088
0.066,8.0037,-11.524,0.706,-79.606,60.007,0.009
0.1,8.0023,-11.524,0.7059,-79.603,60.007,0.0093
0.133,8.0003,-11.524,0.7058,-79.6,60.008,0.0096
0.166,7.9982,-11.525,0.7056,-79.596,60.008,0.0104
0.2,7.996,-11.525,0.7054,-79.592,60.008,0.0112
0.233,7.9942,-11.526,0.7053,-79.589,60.009,0.0116
0.266,7.9928,-11.527,0.7052,-79.587,60.009,0.0124
0.3,7.9921,-11.528,0.7051,-79.586,60.01,0.0129
0.333,7.992,-11.528,0.7051,-79.586,60.01,0.0128
0.366,7.9926,-11.529,0.7052,-79.587,60.01,0.0129
0.4,7.9937,-11.529,0.7053,-79.59,60.011,0.0127
0.433,7.9951,-11.529,0.7054,-79.593,60.011,0.0119
0.466,7.9967,-11.529,0.7055,-79.596,60.012,0.0115
0.5,7.9983,-11.529,0.7056,-79.599,60.012,0.0107
0.533,7.9997,-11.528,0.7057,-79.601,60.012,0.0098
0.566,8.0007,-11.528,0.7058,-79.603,60.013,0.0094
0.6,8.0013,-11.527,0.7058,-79.604,60.013,0.0088
0.633,8.0014,-11.527,0.7058,-79.604,60.013,0.0083
0.666,8.001,-11.526,0.7058,-79.603,60.014,0.0084
0.7,8.0002,-11.526,0.7057,-79.602,60.014,0.0084
0.733,7.9991,-11.526,0.7057,-79.6,60.014,0.0084
0.766,7.9979,-11.526,0.7056,-79.597,60.014,0.0089
0.8,7.9967,-11.527,0.7055,-79.595,60.015,0.0094
0.833,7.9957,-11.527,0.7054,-79.594,60.015,0.0096
0.866,7.9949,-11.528,0.7053,-79.593,60.015,0.0101
0.9,7.9945,-11.528,0.7053,-79.592,60.016,0.0104
0.933,7.9944,-11.529,0.7053,-79.592,60.016,0.0103
0.966,7.9947,-11.529,0.7053,-79.593,60.016,0.0105
1,7.9953,-11.529,0.7054,-79.594,60.017,0.0104
1.033,7.9961,-11.529,0.7054,-79.596,60.017,0.0098
1.066,7.997,-11.529,0.7055,-79.598,60.017,0.0096
1.1,7.9979,-11.529,0.7056,-79.599,60.018,0.0092
1.133,7.9986,-11.529,0.7056,-79.601,60.018,0.0085
1.166,7.9992,-11.529,0.7057,-79.602,60.018,0.0082
1.2,7.9995,-11.528,0.7057,-79.602,60.019,0.0079
1.233,7.9996,-11.528,0.7057,-79.603,60.019,0.0075
1.266,7.9994,-11.528,0.7057,-79.602,60.019,0.0074
1.3,7.9989,-11.528,0.7056,-79.601,60.019,0.0074
1.333,7.9983,-11.528,0.7056,-79.6,60.02,0.0073
1.366,7.9977,-11.528,0.7056,-79.599,60.02,0.0076
1.4,7.997,-11.528,0.7055,-79.598,60.02,0.0078
1.433,7.9964,-11.528,0.7055,-79.597,60.02,0.0078
1.466,7.996,-11.528,0.7054,-79.596,60.02,0.0081
1.5,7.9958,-11.529,0.7054,-79.596,60.021,0.0082
1.533,7.9957,-11.529,0.7054,-79.596,60.021,0.0081
1.566,7.9959,-11.529,0.7054,-79.596,60.021,0.0082
1.6,7.9962,-11.529,0.7054,-79.597,60.022,0.0081
1.633,7.9966,-11.53,0.7055,-79.598,60.022,0.0078
1.666,7.9971,-11.529,0.7055,-79.599,60.022,0.0076
1.7,7.9976,-11.53,0.7055,-79.6,60.022,0.0074
1.733,7.998,-11.529,0.7056,-79.601,60.023,0.0069
1.766,7.9983,-11.529,0.7056,-79.601,60.023,0.0068
1.8,7.9985,-11.529,0.7056,-79.602,60.023,0.0065
1.833,7.9985,-11.529,0.7056,-79.602,60.023,0.0061
1.866,7.9984,-11.529,0.7056,-79.602,60.023,0.0062
1.9,7.9981,-11.529,0.7056,-79.601,60.024,0.0061
1.933,7.9978,-11.529,0.7056,-79.601,60.024,0.0059
1.966,7.9974,-11.529,0.7055,-79.6,60.024,0.0061
2,7.9971,-11.529,0.7055,-79.599,60.024,0.0061
2.033,7.9968,-11.529,0.7055,-79.599,60.025,0.006
2.066,7.9965,-11.529,0.7055,-79.598,60.025,0.0062
2.1,7.9964,-11.529,0.7055,-79.598,60.025,0.0062
2.133,7.9963,-11.529,0.7055,-79.598,60.025,0.006
2.166,7.9964,-11.529,0.7055,-79.598,60.025,0.0061
2.2,7.9966,-11.529,0.7055,-79.599,60.026,0.0061
2.233,7.9968,-11.53,0.7055,-79.599,60.026,0.0057
2.266,7.997,-11.53,0.7055,-79.6,60.026,0.0057
2.3,7.9973,-11.53,0.7055,-79.6,60.026,0.0055
2.333,7.9975,-11.529,0.7055,-79.601,60.026,0.0051
2.366,7.9977,-11.529,0.7056,-79.601,60.026,0.0051
2.4,7.9978,-11.529,0.7056,-79.601,60.027,0.0049
2.433,7.9978,-11.529,0.7056,-79.601,60.027,0.0046
2.466,7.9978,-11.529,0.7056,-79.601,60.027,0.0046
2.5,7.9976,-11.529,0.7056,-79.601,60.027,0.0045
2.533,7.9974,-11.529,0.7055,-79.601,60.027,0.0043
2.566,7.9972,-11.529,0.7055,-79.6,60.027,0.0044
2.6,7.997,-11.529,0.7055,-79.6,60.028,0.0044
2.633,7.9968,-11.529,0.7055,-79.6,60.028,0.0042
2.666,7.9967,-11.529,0.7055,-79.6,60.028,0.0043
2.7,7.9966,-11.529,0.7055,-79.599,60.028,0.0043
2.733,7.9966,-11.529,0.7055,-79.599,60.028,0.0041
2.766,7.9966,-11.529,0.7055,-79.599,60.028,0.0041
2.8,7.9967,-11.53,0.7055,-79.6,60.028,0.0041
2.833,7.9968,-11.53,0.7055,-79.6,60.029,0.0038
2.866,7.997,-11.53,0.7055,-79.6,60.029,0.0038
2.9,7.9971,-11.53,0.7055,-79.601,60.029,0.0037
2.933,7.9972,-11.529,0.7055,-79.601,60.029,0.0034
2.966,7.9973,-11.529,0.7055,-79.601,60.029,0.0033
3,7.9974,-11.529,0.7055,-79.601,60.029,0.0032
3.033,7.9974,-11.529,0.7055,-79.601,60.029,0.0029
3.066,7.9974,-11.529,0.7055,-79.601,60.029,0.003
3.1,7.9973,-11.529,0.7055,-79.601,60.029,0.0028
3.133,7.9972,-11.529,0.7055,-79.601,60.029,0.0026
3.166,7.9971,-11.529,0.7055,-79.601,60.029,0.0027
3.2,7.9969,-11.529,0.7055,-79.6,60.03,0.0027
3.233,7.9968,-11.529,0.7055,-79.6,60.03,0.0025
3.266,7.9968,-11.529,0.7055,-79.6,60.03,0.0025
3.3,7.9967,-11.529,0.7055,-79.6,60.03,0.0025
3.333,7.9967,-11.529,0.7055,-79.6,60.03,0.0023
3.366,7.9967,-11.529,0.7055,-79.6,60.03,0.0023
3.4,7.9967,-11.529,0.7055,-79.6,60.03,0.0023
3.433,7.9968,-11.529,0.7055,-79.6,60.03,0.002
3.466,7.9969,-11.529,0.7055,-79.6,60.03,0.002
3.5,7.9969,-11.529,0.7055,-79.601,60.03,0.0019
3.533,7.997,-11.529,0.7055,-79.601,60.03,0.0016
3.566,7.9971,-11.529,0.7055,-79.601,60.03,0.0016
3.6,7.9971,-11.529,0.7055,-79.601,60.031,0.0015
3.633,7.9971,-11.529,0.7055,-79.601,60.031,0.0012
3.666,7.9971,-11.529,0.7055,-79.601,60.031,0.0013
3.7,7.997,-11.529,0.7055,-79.601,60.031,0.0012
3.733,7.997,-11.529,0.7055,-79.6,60.031,0.001
3.766,7.9969,-11.529,0.7055,-79.6,60.031,0.001
3.8,7.9968,-11.529,0.7055,-79.6,60.031,0.001
3.833,7.9968,-11.529,0.7055,-79.6,60.031,0.0008
3.866,7.9967,-11.529,0.7055,-79.6,60.031,0.0008
3.9,7.9967,-11.529,0.7055,-79.6,60.031,0.0007
3.933,7.9967,-11.529,0.7055,-79.6,60.031,0.0005
3.966,7.9967,-11.529,0.7055,-79.6,60.031,0.0006
4,7.9967,-11.529,0.7055,-79.6,60.031,0.0005
4.033,7.9967,-11.529,0.7055,-79.6,60.031,0.0003
4.066,7.9968,-11.529,0.7055,-79.6,60.031,0.0003
4.1,7.9968,-11.529,0.7055,-79.6,60.031,0.0002
4.133,7.9968,-11.529,0.7055,-79.6,60.031,-0.0001
4.166,7.9969,-11.529,0.7055,-79.6,60.031,0
4.2,7.9969,-11.529,0.7055,-79.6,60.031,-0.0001
4.233,7.9969,-11.529,0.7055,-79.6,60.031,-0.0004
4.266,7.9969,-11.529,0.7055,-79.6,60.031,-0.0003
4.3,7.9968,-11.529,0.7055,-79.6,60.031,-0.0004
4.333,7.9968,-11.529,0.7055,-79.6,60.031,-0.0006
4.366,7.9968,-11.529,0.7055,-79.6,60.031,-0.0006
4.4,7.9967,-11.529,0.7055,-79.6,60.031,-0.0006
4.433,7.9967,-11.529,0.7055,-79.6,60.031,-0.0008
4.466,7.9966,-11.529,0.7055,-79.6,60.031,-0.0008
4.5,7.9966,-11.529,0.7055,-79.6,60.031,-0.0008
4.533,7.9966,-11.529,0.7055,-79.6,60.031,-0.001
4.566,7.9966,-11.529,0.7055,-79.6,60.031,-0.001
4.6,7.9966,-11.529,0.7055,-79.6,60.031,-0.0011
4.633,7.9966,-11.529,0.7055,-79.6,60.031,-0.0013
4.666,7.9967,-11.529,0.7055,-79.6,60.031,-0.0013
4.7,7.9967,-11.529,0.7055,-79.6,60.031,-0.0013
4.733,7.9967,-11.529,0.7055,-79.6,60.03,-0.0016
4.766,7.9967,-11.529,0.7055,-79.6,60.03,-0.0015
4.8,7.9967,-11.529,0.7055,-79.6,60.03,-0.0016
4.833,7.9967,-11.529,0.7055,-79.6,60.03,-0.0018
4.866,7.9967,-11.529,0.7055,-79.6,60.03,-0.0018
4.9,7.9967,-11.529,0.7055,-79.6,60.03,-0.0018
4.933,7.9966,-11.528,0.7055,-79.599,60.03,-0.0021
4.966,7.9966,-11.528,0.7055,-79.599,60.03,-0.002
5,7.9966,-11.528,0.7055,-79.599,60.03,-0.0021
5.033,7.9966,-11.528,0.7055,-79.599,60.03,-0.0023
5.066,7.9966,-11.528,0.7055,-79.599,60.03,-0.0022
5.1,7.9965,-11.528,0.7055,-79.599,60.03,-0.0023
5.133,7.9965,-11.528,0.7055,-79.599,60.03,-0.0025
5.166,7.9965,-11.528,0.7055,-79.599,60.03,-0.0024
5.2,7.9965,-11.528,0.7055,-79.599,60.029,-0.0025
5.233,7.9965,-11.528,0.7055,-79.599,60.029,-0.0027
5.266,7.9965,-11.528,0.7055,-79.599,60.029,-0.0026
5.3,7.9966,-11.528,0.7055,-79.599,60.029,-0.0027
5.333,7.9966,-11.528,0.7055,-79.599,60.029,-0.0029
5.366,7.9966,-11.528,0.7055,-79.599,60.029,-0.0029
5.4,7.9966,-11.528,0.7055,-79.599,60.029,-0.0029
5.433,7.9966,-11.528,0.7055,-79.599,60.029,-0.0031
5.466,7.9965,-11.528,0.7055,-79.599,60.029,-0.0031
5.5,7.9965,-11.528,0.7055,-79.599,60.029,-0.0031
5.533,7.9965,-11.528,0.7055,-79.599,60.029,-0.0033
5.566,7.9965,-11.528,0.7055,-79.599,60.028,-0.0033
5.6,7.9965,-11.528,0.7055,-79.598,60.028,-0.0033
5.633,7.9965,-11.528,0.7055,-79.598,60.028,-0.0035
5.666,7.9965,-11.528,0.7055,-79.598,60.028,-0.0034
