id,bus_id,pmu_id,event_date,event_time,vol_mag,vol_angle,current_mag,current_angle,frequency,rocof
1,BUSID_01,PMU_01,1/24/2021,0:00:00,8.0044,-11.524,0.7061,-79.607,60.006,0.0093
2,BUSID_01,PMU_01,1/24/2021,0:47:31,8.0045,-11.524,0.7061,-79.607,60.007,0.0088
3,BUSID_01,PMU_01,1/24/2021,1:35:02,8.0037,-11.524,0.706,-79.606,60.007,0.009
4,BUSID_01,PMU_01,1/24/2021,2:24:00,8.0023,-11.524,0.7059,-79.603,60.007,0.0093
5,BUSID_01,PMU_01,1/24/2021,3:11:31,8.0003,-11.524,0.7058,-79.6,60.008,0.0096
6,BUSID_01,PMU_01,1/24/2021,3:59:02,7.9982,-11.525,0.7056,-79.596,60.008,0.0104
7,BUSID_01,PMU_01,1/24/2021,4:48:00,7.996,-11.525,0.7054,-79.592,60.008,0.0112
8,BUSID_01,PMU_01,1/24/2021,5:35:31,7.9942,-11.526,0.7053,-79.589,60.009,0.0116
9,BUSID_01,PMU_01,1/24/2021,6:23:02,7.9928,-11.527,0.7052,-79.587,60.009,0.0124
10,BUSID_01,PMU_01,1/24/2021,7:12:00,7.9921,-11.528,0.7051,-79.586,60.01,0.0129
11,BUSID_01,PMU_01,1/24/2021,7:59:31,7.992,-11.528,0.7051,-79.586,60.01,0.0128
12,BUSID_01,PMU_01,1/24/2021,8:47:02,7.9926,-11.529,0.7052,-79.587,60.01,0.0129
13,BUSID_01,PMU_01,1/24/2021,9:36:00,7.9937,-11.529,0.7053,-79.59,60.011,0.0127
14,BUSID_01,PMU_01,1/24/2021,10:23:31,7.9951,-11.529,0.7054,-79.593,60.011,0.0119
15,BUSID_01,PMU_01,1/24/2021,11:11:02,7.9967,-11.529,0.7055,-79.596,60.012,0.0115
16,BUSID_01,PMU_01,1/24/2021,12:00:00,7.9983,-11.529,0.7056,-79.599,60.012,0.0107
17,BUSID_01,PMU_01,1/24/2021,12:47:31,7.9997,-11.528,0.7057,-79.601,60.012,0.0098
18,BUSID_01,PMU_01,1/24/2021,13:35:02,8.0007,-11.528,0.7058,-79.603,60.013,0.0094
19,BUSID_01,PMU_01,1/24/2021,14:24:00,8.0013,-11.527,0.7058,-79.604,60.013,0.0088
20,BUSID_01,PMU_01,1/24/2021,15:11:31,8.0014,-11.527,0.7058,-79.604,60.013,0.0083
21,BUSID_01,PMU_01,1/24/2021,15:59:02,8.001,-11.526,0.7058,-79.603,60.014,0.0084
22,BUSID_01,PMU_01,1/24/2021,16:48:00,8.0002,-11.526,0.7057,-79.602,60.014,0.0084
23,BUSID_01,PMU_01,1/24/2021,17:35:31,7.9991,-11.526,0.7057,-79.6,60.014,0.0084
24,BUSID_01,PMU_01,1/24/2021,18:23:02,7.9979,-11.526,0.7056,-79.597,60.014,0.0089
25,BUSID_01,PMU_01,1/24/2021,19:12:00,7.9967,-11.527,0.7055,-79.595,60.015,0.0094
26,BUSID_01,PMU_01,1/24/2021,19:59:31,7.9957,-11.527,0.7054,-79.594,60.015,0.0096
27,BUSID_01,PMU_01,1/24/2021,20:47:02,7.9949,-11.528,0.7053,-79.593,60.015,0.0101
28,BUSID_01,PMU_01,1/24/2021,21:36:00,7.9945,-11.528,0.7053,-79.592,60.016,0.0104
29,BUSID_01,PMU_01,1/24/2021,22:23:31,7.9944,-11.529,0.7053,-79.592,60.016,0.0103
30,BUSID_01,PMU_01,1/24/2021,23:11:02,7.9947,-11.529,0.7053,-79.593,60.016,0.0105
31,BUSID_02,PMU_02,1/24/2021,0:00:00,7.9953,-11.529,0.7054,-79.594,60.017,0.0104
32,BUSID_02,PMU_02,1/24/2021,0:47:31,7.9961,-11.529,0.7054,-79.596,60.017,0.0098
33,BUSID_02,PMU_02,1/24/2021,1:35:02,7.997,-11.529,0.7055,-79.598,60.017,0.0096
34,BUSID_02,PMU_02,1/24/2021,2:24:00,7.9979,-11.529,0.7056,-79.599,60.018,0.0092
35,BUSID_02,PMU_02,1/24/2021,3:11:31,7.9986,-11.529,0.7056,-79.601,60.018,0.0085
36,BUSID_02,PMU_02,1/24/2021,3:59:02,7.9992,-11.529,0.7057,-79.602,60.018,0.0082
37,BUSID_02,PMU_02,1/24/2021,4:48:00,7.9995,-11.528,0.7057,-79.602,60.019,0.0079
38,BUSID_02,PMU_02,1/24/2021,5:35:31,7.9996,-11.528,0.7057,-79.603,60.019,0.0075
39,BUSID_02,PMU_02,1/24/2021,6:23:02,7.9994,-11.528,0.7057,-79.602,60.019,0.0074
40,BUSID_02,PMU_02,1/24/2021,7:12:00,7.9989,-11.528,0.7056,-79.601,60.019,0.0074
41,BUSID_02,PMU_02,1/24/2021,7:59:31,7.9983,-11.528,0.7056,-79.6,60.02,0.0073
42,BUSID_02,PMU_02,1/24/2021,8:47:02,7.9977,-11.528,0.7056,-79.599,60.02,0.0076
43,BUSID_02,PMU_02,1/24/2021,9:36:00,7.997,-11.528,0.7055,-79.598,60.02,0.0078
44,BUSID_02,PMU_02,1/24/2021,10:23:31,7.9964,-11.528,0.7055,-79.597,60.02,0.0078
45,BUSID_02,PMU_02,1/24/2021,11:11:02,7.996,-11.528,0.7054,-79.596,60.02,0.0081
46,BUSID_02,PMU_02,1/24/2021,12:00:00,7.9958,-11.529,0.7054,-79.596,60.021,0.0082
47,BUSID_02,PMU_02,1/24/2021,12:47:31,7.9957,-11.529,0.7054,-79.596,60.021,0.0081
48,BUSID_02,PMU_02,1/24/2021,13:35:02,7.9959,-11.529,0.7054,-79.596,60.021,0.0082
49,BUSID_02,PMU_02,1/24/2021,14:24:00,7.9962,-11.529,0.7054,-79.597,60.022,0.0081
50,BUSID_02,PMU_02,1/24/2021,15:11:31,7.9966,-11.53,0.7055,-79.598,60.022,0.0078
51,BUSID_02,PMU_02,1/24/2021,15:59:02,7.9971,-11.529,0.7055,-79.599,60.022,0.0076
52,BUSID_02,PMU_02,1/24/2021,16:48:00,7.9976,-11.53,0.7055,-79.6,60.022,0.0074
53,BUSID_02,PMU_02,1/24/2021,17:35:31,7.998,-11.529,0.7056,-79.601,60.023,0.0069
54,BUSID_02,PMU_02,1/24/2021,18:23:02,7.9983,-11.529,0.7056,-79.601,60.023,0.0068
55,BUSID_02,PMU_02,1/24/2021,19:12:00,7.9985,-11.529,0.7056,-79.602,60.023,0.0065
56,BUSID_02,PMU_02,1/24/2021,19:59:31,7.9985,-11.529,0.7056,-79.602,60.023,0.0061
57,BUSID_02,PMU_02,1/24/2021,20:47:02,7.9984,-11.529,0.7056,-79.602,60.023,0.0062
58,BUSID_02,PMU_02,1/24/2021,21:36:00,7.9981,-11.529,0.7056,-79.601,60.024,0.0061
59,BUSID_02,PMU_02,1/24/2021,22:23:31,7.9978,-11.529,0.7056,-79.601,60.024,0.0059
60,BUSID_02,PMU_02,1/24/2021,23:11:02,7.9974,-11.529,0.7055,-79.6,60.024,0.0061
61,BUSID_03,PMU_03,1/24/2021,0:00:00,7.9971,-11.529,0.7055,-79.599,60.024,0.0061
62,BUSID_03,PMU_03,1/24/2021,0:47:31,7.9968,-11.529,0.7055,-79.599,60.025,0.006
63,BUSID_03,PMU_03,1/24/2021,1:35:02,7.9965,-11.529,0.7055,-79.598,60.025,0.0062
64,BUSID_03,PMU_03,1/24/2021,2:24:00,7.9964,-11.529,0.7055,-79.598,60.025,0.0062
65,BUSID_03,PMU_03,1/24/2021,3:11:31,7.9963,-11.529,0.7055,-79.598,60.025,0.006
66,BUSID_03,PMU_03,1/24/2021,3:59:02,7.9964,-11.529,0.7055,-79.598,60.025,0.0061
67,BUSID_03,PMU_03,1/24/2021,4:48:00,7.9966,-11.529,0.7055,-79.599,60.026,0.0061
68,BUSID_03,PMU_03,1/24/2021,5:35:31,7.9968,-11.53,0.7055,-79.599,60.026,0.0057
69,BUSID_03,PMU_03,1/24/2021,6:23:02,7.997,-11.53,0.7055,-79.6,60.026,0.0057
70,BUSID_03,PMU_03,1/24/2021,7:12:00,7.9973,-11.53,0.7055,-79.6,60.026,0.0055
71,BUSID_03,PMU_03,1/24/2021,7:59:31,7.9975,-11.529,0.7055,-79.601,60.026,0.0051
72,BUSID_03,PMU_03,1/24/2021,8:47:02,7.9977,-11.529,0.7056,-79.601,60.026,0.0051
73,BUSID_03,PMU_03,1/24/2021,9:36:00,7.9978,-11.529,0.7056,-79.601,60.027,0.0049
74,BUSID_03,PMU_03,1/24/2021,10:23:31,7.9978,-11.529,0.7056,-79.601,60.027,0.0046
75,BUSID_03,PMU_03,1/24/2021,11:11:02,7.9978,-11.529,0.7056,-79.601,60.027,0.0046
76,BUSID_03,PMU_03,1/24/2021,12:00:00,7.9976,-11.529,0.7056,-79.601,60.027,0.0045
77,BUSID_03,PMU_03,1/24/2021,12:47:31,7.9974,-11.529,0.7055,-79.601,60.027,0.0043
78,BUSID_03,PMU_03,1/24/2021,13:35:02,7.9972,-11.529,0.7055,-79.6,60.027,0.0044
79,BUSID_03,PMU_03,1/24/2021,14:24:00,7.997,-11.529,0.7055,-79.6,60.028,0.0044
80,BUSID_03,PMU_03,1/24/2021,15:11:31,7.9968,-11.529,0.7055,-79.6,60.028,0.0042
81,BUSID_03,PMU_03,1/24/2021,15:59:02,7.9967,-11.529,0.7055,-79.6,60.028,0.0043
82,BUSID_03,PMU_03,1/24/2021,16:48:00,7.9966,-11.529,0.7055,-79.599,60.028,0.0043
83,BUSID_03,PMU_03,1/24/2021,17:35:31,7.9966,-11.529,0.7055,-79.599,60.028,0.0041
84,BUSID_03,PMU_03,1/24/2021,18:23:02,7.9966,-11.529,0.7055,-79.599,60.028,0.0041
85,BUSID_03,PMU_03,1/24/2021,19:12:00,7.9967,-11.53,0.7055,-79.6,60.028,0.0041
86,BUSID_03,PMU_03,1/24/2021,19:59:31,7.9968,-11.53,0.7055,-79.6,60.029,0.0038
87,BUSID_03,PMU_03,1/24/2021,20:47:02,7.997,-11.53,0.7055,-79.6,60.029,0.0038
88,BUSID_03,PMU_03,1/24/2021,21:36:00,7.9971,-11.53,0.7055,-79.601,60.029,0.0037
89,BUSID_03,PMU_03,1/24/2021,22:23:31,7.9972,-11.529,0.7055,-79.601,60.029,0.0034
90,BUSID_03,PMU_03,1/24/2021,23:11:02,7.9973,-11.529,0.7055,-79.601,60.029,0.0033
91,BUSID_04,PMU_04,1/24/2021,0:00:00,7.9974,-11.529,0.7055,-79.601,60.029,0.0032
92,BUSID_04,PMU_04,1/24/2021,0:47:31,7.9974,-11.529,0.7055,-79.601,60.029,0.0029
93,BUSID_04,PMU_04,1/24/2021,1:35:02,7.9974,-11.529,0.7055,-79.601,60.029,0.003
94,BUSID_04,PMU_04,1/24/2021,2:24:00,7.9973,-11.529,0.7055,-79.601,60.029,0.0028
95,BUSID_04,PMU_04,1/24/2021,3:11:31,7.9972,-11.529,0.7055,-79.601,60.029,0.0026
96,BUSID_04,PMU_04,1/24/2021,3:59:02,7.9971,-11.529,0.7055,-79.601,60.029,0.0027
97,BUSID_04,PMU_04,1/24/2021,4:48:00,7.9969,-11.529,0.7055,-79.6,60.03,0.0027
98,BUSID_04,PMU_04,1/24/2021,5:35:31,7.9968,-11.529,0.7055,-79.6,60.03,0.0025
99,BUSID_04,PMU_04,1/24/2021,6:23:02,7.9968,-11.529,0.7055,-79.6,60.03,0.0025
100,BUSID_04,PMU_04,1/24/2021,7:12:00,7.9967,-11.529,0.7055,-79.6,60.03,0.0025
101,BUSID_04,PMU_04,1/24/2021,7:59:31,7.9967,-11.529,0.7055,-79.6,60.03,0.0023
102,BUSID_04,PMU_04,1/24/2021,8:47:02,7.9967,-11.529,0.7055,-79.6,60.03,0.0023
103,BUSID_04,PMU_04,1/24/2021,9:36:00,7.9967,-11.529,0.7055,-79.6,60.03,0.0023
104,BUSID_04,PMU_04,1/24/2021,10:23:31,7.9968,-11.529,0.7055,-79.6,60.03,0.002
105,BUSID_04,PMU_04,1/24/2021,11:11:02,7.9969,-11.529,0.7055,-79.6,60.03,0.002
106,BUSID_04,PMU_04,1/24/2021,12:00:00,7.9969,-11.529,0.7055,-79.601,60.03,0.0019
